state,participation_rate,score,year,test,income
Iowa,0.66,21.6,2019,ACT,61700
Kansas,0.04,1241.0,2019,SAT,62100
Kansas,0.72,21.2,2019,ACT,62100
Maine,0.99,1013.0,2019,SAT,58900
Maine,0.06,24.3,2019,ACT,58900
Massachusetts,0.81,1120.0,2019,SAT,85800
Massachusetts,0.21,25.5,2019,ACT,85800
Michigan,1.0,1003.0,2019,SAT,59600
Michigan,0.19,24.4,2019,ACT,59600
Minnesota,0.04,1284.0,2019,SAT,74600
Minnesota,0.95,21.4,2019,ACT,74600
Mississippi,0.03,1237.0,2019,SAT,45800
Mississippi,1.0,18.4,2019,ACT,45800
Montana,0.09,1199.0,2019,SAT,57200
Montana,1.0,19.8,2019,ACT,57200
Nevada,0.2,1156.0,2019,SAT,63300
Nevada,1.0,17.9,2019,ACT,63300
New Hampshire,0.95,1059.0,2019,SAT,77900
New Hampshire,0.14,25.0,2019,ACT,77900
New Jersey,0.82,1090.0,2019,SAT,85800
New Jersey,0.25,24.2,2019,ACT,85800
New Mexico,0.18,1073.0,2019,SAT,51900
New Mexico,0.63,19.3,2019,ACT,51900
New York,0.79,1064.0,2019,SAT,72100
New York,0.22,24.5,2019,ACT,72100
North Carolina,0.51,1100.0,2019,SAT,57300
North Carolina,1.0,19.0,2019,ACT,57300
Oregon,0.51,1112.0,2019,SAT,67100
Oregon,0.42,21.1,2019,ACT,67100
Pennsylvania,0.7,1082.0,2019,SAT,63500
Pennsylvania,0.17,23.6,2019,ACT,63500
South Carolina,0.68,1030.0,2019,SAT,56200
South Carolina,0.78,18.8,2019,ACT,56200
South Dakota,0.03,1268.0,2019,SAT,59500
South Dakota,0.75,21.6,2019,ACT,59500
Tennessee,0.07,1220.0,2019,SAT,56100
Tennessee,1.0,19.4,2019,ACT,56100
Washington,0.7,1074.0,2019,SAT,78700
Washington,0.24,22.1,2019,ACT,78700
West Virginia,0.99,943.0,2019,SAT,48900
West Virginia,0.49,20.8,2019,ACT,48900
